Movie_ID,Title,Weighted_Rating,Director(s),Cast,Genres
1860,Rail Ka Dibba,5.835607514054884,['Prem Narayan Arora'],"['Madhubala', 'Shammi Kapoor', 'Sajjan']",['Drama']
1861,Ekta,5.835607514054884,['G. Suman Reddy'],"['Salil Ankola', 'Navneet Kaur Dhillon', 'Avneet Kaur']","['Horror, Mystery, Thriller']"
1862,III Smoking Barrels,5.835551691563765,['Sanjib Dey'],"['Subrat Dutta', 'Indraneil Sengupta', 'Mandakini Goswami']",['Drama']
1863,Lal Patthar,5.835551691563765,['Sushil Majumdar'],"['Raaj Kumar', 'Hema Malini', 'Rakhee Gulzar']",['Drama']
1864,Mere Sanam,5.835513157696859,['Amar Kumar'],"['Asha Parekh', 'Biswajit Chatterjee', 'Pran']","['Musical, Romance']"
1865,Red Rose,5.835498679659472,['Bharathiraja'],"['Rajesh Khanna', 'Poonam Dhillon', 'Aruna Irani']","['Crime, Romance, Thriller']"
1866,Sharada,5.835389940921242,['L.V. Prasad'],"['Raj Kapoor', 'Meena Kumari', 'Shyama']","['Drama, Romance, Musical']"
1867,Sajan,5.835363922128076,['Mohan Segal'],"['Asha Parekh', 'Manoj Kumar', 'Om Prakash']","['Comedy, Mystery, Romance']"
1868,Jan Pahchan,5.835363922128076,['Fali Mistry'],"['Nargis', 'Raj Kapoor', 'Jeevan']","['Drama, Romance']"
1869,Maryada,5.835363922128076,['Aravind Sen'],"['Rajesh Khanna', 'Raaj Kumar', 'Mala Sinha']","['Family, Romance']"
1870,Duniya,5.835363922128076,['T. Prakash Rao'],"['Dev Anand', 'Vyjayanthimala', 'Balraj Sahni']","['Crime, Drama']"
1871,Hey Ram Hamne Gandhi Ko maar Diya,5.835359977004767,['Naeem Siddiqui'],"['Jatin Goswami', 'Samiksha Bhatnagar', 'Subrat Dutta']",['Drama']
1872,Chala Murari Hero Banne,5.835278718024953,['Asrani'],"['Asrani', 'Bindiya Goswami', 'Satyendra Kapoor']","['Comedy, Musical, Romance']"
